,time_passed,summary,agendas_covered,binned
0,30,"Andrew Knight: Okay, so we're recording. We're streaming
Andrew Knight: We have that setup. Okay.
Andrew Knight: It's like Mary Kate's here. I'll let her in.
Andrew Knight: Gonna make her a host to
Paul McCartney: She just got back from a vacation or something.
George Harrison: Mary Kate.
George Harrison: I think she was on a vacation for a while.",Introductions,5
1,60,"Ringo Starr: Oh, nice. See how that one.
Andrew Knight: America, Kate.
John Lennon: Hi, how's it going good.
John Lennon: It's everything good to go.
George Harrison: Thanks. So great.
Andrew Knight: Yeah, I can start letting people in if that's
Andrew Knight: That's useful. Yeah.
John Lennon: Whatever you whatever is easiest for you.
John Lennon: So pop up screen that I saw why I said I liked the pop up screen that I saw before I got in. I had seen that before.",General conversation,5
2,90,"Andrew Knight: What was it
John Lennon: It said host is waiting to let you in. And it said like the name of the event.
Andrew Knight: Okay.
Andrew Knight: So we will. I'll do just a brief.
Andrew Knight: Brief very brief intro because I baked. A lot of it into the pre set slide that will circulate throughout. So I'll just do a brief very brief intro before I intro you throw it over to you and you can share your screen then and and dive in. Awesome. Thanks. Okay.",Introductions,5
3,120,"Paul McCartney: Do you need to look at that. That select part of a screen for your PowerPoint again.
Paul McCartney: I think I did. Let me just try share screen. Yeah.
Paul McCartney: It's not good.
John Lennon: Yeah.
Paul McCartney: And it works. You're seeing it move
John Lennon: Yep, yep. It looks great there you
Paul McCartney: Go back to the original",General conversation,5
4,150,"Andrew Knight: All right, Mary Kate, if anything goes off, I'll be watching the chat if you just text me or like enter anything into the chat there that needs to
Paul McCartney: Be adjusted
Paul McCartney: Like private someone cell phone, just in case.
Paul McCartney: Something goes horribly wrong.
Andrew Knight: Yep. Oh. Enter mine in a direct private chat, just so that it's always there for you. Thanks.
And that",General conversation,5
5,180,"And that
Andrew Knight: And I have that sitting here.
Paul McCartney: Too. I'm just gonna call that number so that you have it 321-584-0624. Awesome. Thanks.
Andrew Knight: So were you the 917
Yes. Okay.
Andrew Knight: Alright, so I'm gonna let people in",General conversation,5
6,210,,Introductions,5
7,240,,"```
Introductions",5
8,270,,"```
Introductions",5
9,300,,"```
Introductions",5
10,330,,"```
Introductions",10
11,360,,"```
Introductions",10
12,390,,"```
Introductions",10
13,420,,"```
Introductions",10
14,450,,"```
Introductions",10
15,480,,"```
Introductions",10
16,510,,"```
Introductions",10
17,540,,"```
Introductions",10
18,570,,"```
Introductions",10
19,600,,"```
Introductions",10
20,630,"Andrew Knight: Hello everyone. Welcome, welcome to our program this afternoon or this evening or this morning, depending on where you're joining us from
Andrew Knight: You are more than welcome. Of course to unmute your video if you want to join the session and have a presence here with us if that's possible. It's always a wonderful way to build the community.",Introductions,15
21,660,"Andrew Knight: My name is Andrew night. I'm a professor of organizational behavior in Olin business school. And I'm also the academic director of lifelong learning.
Andrew Knight: And if there's one thing I've learned so far from online teaching it is that there is enormous value in having the community that you're a part of right there in front on the screen. And so if you aren't too shy to broadcast your video, please do so.",Introductions,15
